portugues,tupi_antigo
Lavrei a pedra,Aitá-mombipik
"Embora tentásseis, estivestes deitados só pouco tempo junto a mim","Pesa'ang îepé, peuî korite'ĩ nhote xe pyri"
Na minha frente ele disse isso,Xe robaké aîpó i 'éû
Fizeram feridas por seu corpo todo?,Seté îakatupe ybŷá i moperé-perebi?
Eu sou leproso,Xe piraíb
Não se afligem por nada,N'oîkotebẽî ma'e amõ resé
Por que Deus os deu para a gente?,Mba'erama resépe Tupã i me'engi asébe?
"Sua vida bondosa tendo, nossa alma regozija-se","Sekó-katu rerekóbo, îandé 'anga îekosubi"
O que conta os pecados escondidos de alguém,Abá angaîpá-nhemima oîmombe'uba'e
"Estando diante de Deus, de mim não te afastas","Tupã robaké eîkóbo, xe suí nd'eresyryki"
Encarreguei Pedro da lenha,Aîopûaî Pedro îepeaba resé
"daí, desse lugar (em que estás)",eboûĩ suí
Eu sou ríspido,Xe îeaseîxûer
"Ah, como será a morte do fulano por aí?",Marã îasûaramo ahẽ kûepe se'õ mã?
Pedro é maior que tu,Peró turusu-eté nde suí
Todos vão em procissão,Opabenhẽ gûá sóû îebyîebybo
Confessa bem a nós que tu és o filho de Deus,Eîmombe'u-katu Tupã ra'yramo nde rekó orébe
"Hoje, assim, de modo nenhum impedem nossa estada","Kori, nã, îandé rekó îandé moarûapa angá"
"armadilha de ratos, ratoeira",gûabiru rupîara
"Quem aqui dá a cara, para cá olhando furtivamente?","Abápe ké sobasẽ, kûybõ oma'ẽ-nhemima?"
Esbofeteei suas têmporas,Aî'atypetek
quando ele peida,sepynõneme
ira que te impregna,nhemoŷrõ nde momungasara
Apenas não me faz morrer,Sa'ĩ na xe momanõî!
"Como o revolutear de um urubu sobre coisas fedorentas, tu voltas o rosto para trás","Urubu mba'enema 'arybo nhemoîereba îabé, nde atybak"
Trazei também a ingapema!,Ingapema bé peru!
Fez vir outrora alguma coisa boa do céu para seus discípulos?,Oîmbourype erimba'e mba'e-katu amõ ybaka suí o boîaetá supé?
Eu tenho muitas comborças,Xe nhemõîetá
"Que diz a gente, querendo abrandar a Deus?",Marã e'ipe asé Tupã mombu-potá?
Sigo-lhe o rastro,Asakypûemomosem
"Ao chegar o oitavo dia, cortaram seu prepúcio",Mokõî oîoirundyk oito 'ara sykeme i 'apira mondoki
"Daqui, certamente, passou para a Índia, terra dos indianos",Ké suí serã i asabi India tapyîtinga retãme
"Tenhamos, de fato, as coisas boas, apartando-as do que é mau",Îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo
Completamente ele me revistou,Opá ahẽ xe subi
"Ó minha mãe! (Fig, Arte, 9) [Usava-se também por quem respondia",Xe sy îu!
"Hei de comer hoje seus braços, Caburé, suas pernas","T'a'u kori i îybapûera, Kaburé, setymãmbûera"
Emplumei-o,Asamongy
o que entra para junto de mim,xebe teîkeara
menos ou menor que aquele,akûeîa gûyri nhote
"A gente confessa totalmente, de costume, seus próprios pecados?",Oîmombe'u pakatupe amẽ asé o angaîpagûera?
Grandemente a aflição oprime minh'alma,Naetenhẽ ã tekotebẽ xe 'anga apypyki
"o que tem fama, o que é famoso",serapûanyba'e
Vivo na virtude,Aîkó tekokatu resé
"Eu estava-me, mesmo, esquecendo e não querendo omiti-lo","Xe resaraî é gûitekóbo, n'aseîá-potá ruã!"
"Como símbolo de sua união com ela, temos o casamento",Sesé i nhemonanagûera ra'angabamo mendá îarekó
Quem é? Quem está aí?,Abá-pipó?
"Por isso, na verdade, é que a gente detesta o pecado mais que a morte?",Nd'e'i te'e ipó asé pecado moabaetébo te'õ sosé?
Sua mãe o pôs no lugar onde estava a manjedoura deles,Semi'uru rupápe i xy i nongi
"Entram grandes espinhos, espetando sua cabeça, furando-a toda","Oîké îugûasu i akanga kutuka, opá i mombuka"
Pôr o bispo em nossa testa o óleo sagrado,Asé sybápe abaregûasu nhandy-karaíba nonga
Desprezando-vos completamente antes de fazer entrar vosso senhor,Peîeroŷrõmo aûîé-katu pe îara moingé îanondé
"na ponta, no punho da rede",apy anhãî
Eu sou Sauiaetá Famoso é meu nome,Ixé Saûîaetá Serapûã xe renõîndaba
Acreditas na dança do Guajupiá?,Ererobîarype Gûaîupîá moraseîa?
"o que fia (Fig, Arte, 119), fiandeira",pobandara
"Ainda bem que os três, novamente, queimareis em conjunto",Iîá mosapyr-y bé pekaî oîepegûasune
Infamam-me pelas costas,Xe kupébo xe mombe'u
Golpeamos um ao outro,Oronheatõî
Arrebentando as coisas de alguém,Abá mba'e mombuka
Acreditai um pouco mais nele,I pyrybé perobîá
Atrai-me a roupa daquele,Xe momotar ahẽ aoba
levantadoras de mentiras,mo'ema mopu'ambara
Sua lei pôs ordem em nossa antiga vida má,Sekó omongaturõ îandé rekó-poxypûera
O diabo me importuna,Anhanga xe moaîu
Ela está crua,I pyr
"E quanto a ti, Boiuçu?","Marãpe nde, Mboîusu?"
o que deseja a justiça,tekokatu 'useîtara
O que a seu filho e a seu escravo faz trabalhar,"O a'yra, o embiaûsuba omoporabykyba'e"
É no final da missa que entras sempre?,Missa mondykápe épe ereîké îepi?
Eu tenho muitos bernes,Xe ur - Eu tenho berne Xe u-xe ur
Ele comeu demais aquela coisa,O'u-eté-eté ahẽ mba'e
Eu estou bento,I mongaraibypyra ixé
"o que anuncia as coisas, o pregador",mba'e reronhe'engara
muitas coisas miúdas,ta'yrĩ-rĩ
"Contaste o mau procedimento de alguém, que somente tu viste, para as pessoas?",Ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?
"Como a esses, mato os que costumam pecar","Anga îá, angaîpabora aîuká"
Não há absolutamente servos meus,N'i tyb-angáî xe boîá
"Que fez antes de morrer, estando pronto?",Marãpe erimba'e sekóû o e'õ îanondé o ekoaûîéramo?
Será que todos aqueles esbofeteadores dele ficaram a injuriá-lo?,-Opabenhẽ serã erimba'e a'e petekara iî a'o-îa'oû?
(o) muito maior (superlativo),tubixabeté
"Após acabar o mundo, fá-los-á voltar a viver","Ara pab'iré, i moingobeîebyri-ne"
Como o viu se ele é o que não tem corpo?,"Marãpe sepîaki, setee'ymba'eramo sekó e'ymeté?"
"a vanguarda da guerra, o que vai à frente dos outros na guerra (para obter informações do campo inimigo)",marana tĩapyra
Ordenhei-a,Aîkambyamĩ
Os que confessou com os que escondeu voltará a confessar,O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
Recebemo-nos uns aos outros,Oroîopopysyk
"Por sua vontade é que ele se entregou aos seus adversários, não resistindo?",O emimotarybo épe erimba'e i nheme'engi og upîarama pé onherane'yma?
Cheirei-o,Asetun
Seguindo o rastro das mulheres,Kunhã rakypûemondóbo
"Escaparão futuramente os animais de caça, os pássaros, os peixes, as matas?","Okûabépe irã so'o, gûyrá, pirá, ka'a?"
"Jesus, guardião da alegria",Iesu toryberekoara
Aceitei dinheiro de Pedro,Aîar itaîuba Pedro suí
"Logo então a cruz ergueram, fincando-a?",A'eîbépe ybŷá cruz mo'ami i atykábo?
"Aqui os homens estão, na verdade",Ké abá rekóû anhẽ
"(A gente) se humilha, arrependendo-se de suas maldades","Onhemomboreaûsub, o angaîpaba moasŷabo"
"Lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis",Penhemoma'enduá Anhanga ratápe i porarapyra resé ta pe angaîpab umẽngatutenhẽ
Tive alento,Xe 'ãur
"Chamusquei o casco dela (isto é, da embarcação, para calafetá-la)",Aîapé-ereb
enseada ou baía de mar,paranãngûá
Essas não conhecem o pecado,Eboinga tekoaíba nd'oîkuabi
Acusando uma mulher para seu marido,Kunhã kuaûká i mena supé
Obedeceste às palavras do governante da aldeia ou a teu mestre?,Ereîporakápe taba rerekoara nhe'enga koîpó nde mbo'esara?
ajuntamento de araçás,arasá-tyba
Sobram-me sauiás,Xe resemõ sauîá
"Retiraram-no para o pátio, colocando uma cruz no ombro dele","Okarype senosemi, cruz nonga i ati'yba ri"
Eu estava-me esquecendo mesmo,Xe resaraî é gûitekóbo
"Não serão somente poucos anos, mas para sempre",Na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te
Eu sou pecador como meu pai,Xe ruba rupi é xe angaîpabamo
Por isso mesmo os que tiram seu chapéu para eles transgridem a palavra de Deus,Nd'e'i te'e i xupé o akangaó-'okara Tupã nhe'enga abŷabo
Não que não soubesse o que buscava,Na sekasaba kuabe'yma ruã
"Minha nação, outrora, estava segundo a lei primeira","Xe anama, erimba'e, tekó-ypyramo sekóû"
Vomitas cauim?,Ereîmoîebype kaûĩ?
Porventura fizeram-se muito maus os homens após se multiplicarem?,Onhemoangaîpabeté serã apŷaba o îeapyká-eté roîré?
Olhando detidamente para alguma que foi casada,Mendarûera amõ resé enhemosapysóbo
"Qual era, mesmo, o nome dele?",Marã-takó ahẽ rera?
"Hei de frequentar Ibioca, revirarei também Itaoca e, enfim, Jupaoguaó","Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne"
"E ainda mais um batizado, transgressor da boa lei, encontrando um padre, alegrar-se-á muito","Memetipó nhemongaraibypyra tekokatu abŷara abaré supé ogûasema, sorybetéûne"
"Eu sou o que é antigo, o de tempos atrás",Erimba'endûarûera ixé
Por isso mesmo será só chorar sem parar,Nd'e'i te'e îase'o anhõ monhanga i mombyke'ymane
"Eu tinha o pescoço caído (isto é, por um desmaio Também se diz do figo derrubado, por estar muito maduro)",Xe aîurar
Afago-lhe a cabeça,Aî'apixyb
costas corcovadas,kupé-asura
como criança gerando-se,pitangamo onhemonhanga
meu pensamento,xe 'anga
papo grande,aîusu
Veio para nos ver!,Îandé repîaka our!
Eu estou apressado,Xe ranhẽ
terra levantada,yby-'ama
"E onde está aquele limbo, morada das crianças que não foram batizadas?",Umãmepe a'e putunusu pitanga nhemongaraibypyre'yma rekoaba rekóû?
muito longe,apûé-katu
Invocando a Deus ou sua própria alma ou a cruz ou algo verdadeiro,Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa
Vê tu a variedade de coisas,Esepîak tekó paraba
não já assim,na emonani
"Embora eles tenham igrejas, a todos arruinei",I tupãok îepé aîmomoxy pabenhẽ
Eu sou ligeiro de mãos,Xe poapyî
"Tão logo ouvindo o teu nome, o diabo está tremendo","Nde rera rendupa abé, anhanga ryryî okûapa"
Sara mesmo minha alma somente com tuas palavras,opûerab é ipó xe 'anga nde nhe'enga pupé nhote
"Eia, vamos logo","Ene'ĩ, t'îasó taûîé"
Vieste do céu,Ybaka suí ereîur
Dobrei-o,Aîapapûar
Agradeci-o,Aîkugûab
Reparti-os pela metade,Oîopytera rupi aîmoîa'ok
"Não está em conformidade comigo, não é igual a mim",Na xe îáî
"Hei de ir, de fato?",Asóp'ixéne é?
o que tem seu próprio nome,ogûer-y îara
Usaste feitiço para que não viessem?,Mosangape ereîpuru ture'ymagûama ri?
"Excitaste-o, querendo ejacular teu sêmen?",Ereîkapyrokype nde ra'y-pupuka potá?
Não mates gente,Eporapiti umẽ
Por que a gente põe a cruz na testa?,Marãnamope asé o sybápe îoasaba moíni?
para seu fogo arrastando-nos,ogûatápe oré rekyîa
Trouxeste algumas facas de ferro?,Ererupe itá kysé amõ?
Comemoramos seu nascimento,I 'aragûera îaîmoeté
Em vão crêem em ti,E'i tenhẽ nde rerobîá
"Despiram-no, amarrando-lhe as mãos numa coluna de pedra, fazendo-o estar de pé","Oîaobok, itá okytá resé i popûá i mo'ama"
"Eia, pois, vamos estar sentados aqui","Pene'ĩ, rõ, t'îasó ké îagûapyka îakupa"
Ele é bom se o que é contado é mesmo verdade,I marangatu supi é i mombe'upyra rekóreme é
Oxalá Deus mandasse os cadáveres de toda parte falarem o que terá sido o seu enterro,Omonhe'enguká temõ Tupã te'õmbûera kóbo i tỹmbûerama
Eu sou destro,Xe poîabab
Entro na igreja só de vez em quando,Aîké-pa'ũpa'ũ nhote Tupãokype
Como que para ele ficaste gritando hoje,I xupé îasûá oîeí eresapuká-pukaî
Eu sou velho,Xe ymûan
Sou inimigo das pessoas,Morobaîaramo aîkó
Fi-lo ter vontade de comer,Aîmoîurué
"Como um pobre, tomou a casa dos animais de criação como sua pousada",Mba'eîare'yma îabé so'o mimbaba roka ogûâr og upabamo
"Imediatamente, água e seu sangue dele vazaram, escorrendo","Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka"
"o que tem fome, o faminto",i ambyasyba'e
Por isso mesmo os moços entram sempre no lugar de beber cauim,Nd'e'i te'e kunumĩgûasu oîkébo memẽ kagûápe
Não o temais,Peîpoûsub ymẽ
Meu senhor vos mata,Pe îuká xe îara
"meu irmão gêmeo, o que nasceu juntamente comigo",xe kõîgûera
"-Que queres? -Batata-doce, favas","-Ma'epe ereîpotar? -Îetyka, komandaûasu"
Fazendo desaparecer nossa morte,Îandé re'õ mokanhema
Aliaste-te com tua comborça?,Ereîekotyápe nde nhemõîa resé?
Trazei também o tacape!,Ingapema bé peru!
"contas vermelhas, contas de coral",mbo'ypyranga
Quantos são os chefes principais por aqui?,Mobype tubixá-katu kybõ?
ainda hoje apressando-vos para encontrar a felicidade verdadeira,kori bé penhemoanhẽ-anhẽmo tekokatueté pé pegûasemagûama resé
"Tremo, ambas as minhas coxas adormeceram","Aryryî, opá xe uba îesyî"
"Detestando seu pecado, a transgressão da palavra de Deus","O angaîpaba, Tupã nhe'enga abŷagûera reroŷrõmo"
Saqueei-lhe as coisas completamente,Aîmba'e-pysyrõ-mbab
Igualmente fazem o mal,Oîoîá marã sekóû
Nasceu para nós hoje,- O'a îandébo kori
sela de cavalo,kabaru repanaku
Quem é a que fala a Deus por nós?,Abápe asé resé Tupã mongetasara sekóû?
"Vem, dize o nome, ó sim, dos que tu venceste por aí","Îori, esenõî angá kûeîbo nde remimoaûîé"
Que aumenteis o amor a Deus neste mundo,Ikó 'ara pupé Tupã raûsubagûera ta pemoîoapyr
coisa mirrada ou muito seca,tining-atã
"Tu, no paraíso para sempre estás","Endé, Tupã rorypápe aûîeramanhẽ ereîkó"
Não querendo repetir seu pecado que ele detestava,O angaîpagûera o emieroŷrõagûera reroîeby-potare'yma
antes de te esconderes,nhemim-y îanondé
"parida, mulher que gerou filhos",membyrasara
"Destila tuas lágrimas, por detestá-los",Nde resa'y eîmondyky seroŷrõsápe
Eu estou caindo de sono,Xe kerapará-parar
Podem deixar um do outro?,E'ikatupe o îosuí opo'i?
Dirigiu de novo Pilatos sua fala aos judeus?,Oîmoín-y bépe Pilatos o nhe'enga îudeus supé?
Querendo abertos os buracos das orelhas da gente,Asé apysakûá-puka potá
Para Deus nos encorajar contra o diabo,Anhanga supé Tupã asé mopyatãgûama resé
lua minguante,îasy-angaîbara
"Vela bem por mim, mandando que não me façam cair","Ema'enãngatu xe ri, xe mbo'are'ym-uká"
mortandade de gente,mbaba
Eu sou fujão,Xe kanhemixûer
Sorvi o caldo,Aîty-kukur
Rodeei-o,Anhaman
"o que caça, caçador",ka'amondoara
Enfim eu vou,Rumby gûixóbo
Em teu nome guardo-me,Nde rera pupé anhenong
Os guardadores de cabra querem visitar seu Senhor,Sygûasumé rerekoara oîosu-potá o îara
"Que era, mesmo, aquilo? (como quem se esquece do que passou)",Mba'e-takó?
"Isso não tem meio de se contar, ainda que o sol se pusesse!","Aîpó n'i papasabi, kûarasymo oîké îepémo!"
Estou quieto,Aîubĩote
Fazendo-se humilde como um pobre,Onhemoarûabo mba'eîare'yma îabé
Fazendo sair de tua alma o que havia no teu paganismo,Nde nhemongaraibe'yma pupé oîkoba'e mosema nde 'anga suí
Morrendo nós,Îamanõmo
Faço-os ser ladrões de cauim,Aîonong ka'umondá
Hás de confessar primeiro tua atração por eles,Sesé nde nhemomotaragûera ranhẽ t'ereîmombe'u
"Ambas as minhas coxas tremem, endurecendo","Opá xe uba îesyî, oîemoatãmo"
meu filho que gerei,xe ra'yra xe remimonhanga
Prova que o levas!,Esa'angyne serasóbo
"Vamos, devagar, para fazer o assalto, para queimar a terra dos malditos","T'îasó, mbegûé, îapu'ama, t'ixapy moxy retama"
Teriam ido para longe?,Osó meémo mamõ?
"Estava longe tua lembrança das coisas, estando a conversar contigo mesmo?","Oîkó kûepe mba'e resé nde ma'enduara, enhemongetábo ekupa?"
"muito longe, fora ou ao revés do que é",aroane'ỹngatu
ferrugem do ferro,itá repoti
Eram bons na totalidade quando Deus começou a criá-los?,I angaturam sykype erimba'e Tupã o monhang-ypyreme?
"Imediatamente, água e sangue dele vazaram, escorrendo","Aûnhenhẽ 'y sugûy abé i xuí i 'emi, osyryka"
"Amarrei-lhe a cabeça (isto é, fiz-lhe tranças no cabelo, com fita)",Aîakã-mbûar
"Toda a aflição envolvendo o homem, enfim",Opá tekotebẽ abá amana ko'yté
Come ainda,Okaru bé
Mas são eles os que mandam fazer cauim,A'e-te kaûĩ pûaîtara
Quem faz louvar o nome de Deus?,Abá-abápe Tupã rera oîmoeté-ukar?
Procedo muito mal,Marã-marã tenhẽ aîkó
"Mas vinho mesmo, de fato, colocam dentro dele?",Kaûĩ aé ruã-tepe ybŷá onong i pupé?
Não por minha causa sua morte ocorrerá,Na xe resé ruã i îukasaba 'arine
Como se eu fosse lá,A'epe xe só îaramẽ
A canoa já está pronta,I aûîé umûã ygara
os que vêm do lado em que nasce o sol,kûarasy sembaba koty suí ouryba'e
"a saída do sol, o nascer do sol",kûarasy sembaba
"Por causa disso, com efeito, agora o amo","Aîpó resé nhẽ, ko'y asaûsu"
Hoje mesmo havemos de fazê-lo sumir,Kori bé t'i mokanhẽ
Doravante assim procedo,Ko'yré emonã aîkó
Pilei-lhe as taipas,Aîybysosok
poeira da terra,yby tubyra
Estamos pertinho um do outro,O îoambyî oroîub
Não sabe o senhor que eu sou um beberrão?,Nd'oîkuabipe ta'a kagûaramo xe rekó?
Estou em guerra,Aîkó marana ri
Muito bem! Que venha!,Aûîebeté! T'oú!
"Antes que ele agonize verdadeiramente, que vá alguém me chamar",I mara'areté e'ymebé t'osó abá xe renõîa
Veio detrás de mim,Xe atuaî turi
"Diante deles os diabos ajuntando-se, querendo engoli-los","Sobaké Anhanga onheŷnhanga, i mokona motá"
"Ave Maria, a que está cheia de graça","Ave Maria, graça resé tynysemba'e"
arraia pitoca (nome de uma aldeia),îabebyrasyka
Amo-o em vão,Asaûsub-a'ub
vara,ybyrá'ĩ
Vós lembrais,Pe ma'enduar
Vou em busca de água,Y piaramo asó
"É aparência, somente, este mundo falso",A'uba nhote ikó 'ara'uba
"estrutura de cume, cumieira",apyrytá
"Como vês, eu sou muito forte, um diabo que domina as guerras","Irõ, xe ratãngatu, anhanga maranyîara"
por meio da oração,tupãmongetá pupé
Afastai-vos daquele que eu guardo!,Pepo'i xe remiarõ suí!
"Não tenho a ver com ele, enfim (isto é, desisti dele)",N'aîkóî sesé ko'yté
Que se arranquem de mim meus olhos concupiscentes,T'oîe'ok ixé suí xe resá-poropotara
"rio acima, a montante",y-anhangoty
Sua mãe não teve dor de parto,I xy n'i membyrasyî
"Que se alegrem, descansando","Ta soryb, oputugûabo"
O anjo revelou-se a ela como um rapaz muito belo,Karaibebé îepîakukari i xupé kunumĩgûasu-porãngaturamo nhẽ
"Fico à espera dele, fico no caminho dele",Aîpiarõ
Basta! Eu estou muito contente,Aûîé! Xe rorybeté
meu sobrinho,xe ri'yra
Oxalá chegasse então,Temone a'ereme osykamo
Pode alguém beber cauim?,E'ikatupe abá okagûabo?
Assim havemos de nos acariciar?,Nã takó îomomoranga re'a?
Eu sou habilidoso,Xe kyre'ym
Segura-o por enquanto,Eîpysyk ranhẽ
Aqueles outros dois deverão ser tomados segundo a vontade das pessoas,Abá remimotara rupi tarypyrama é amoaé mokõî
Não é muito forte o homem branco,Na satãngatuî maíra!
Vivei verdadeiramente com a rainha Graça,Peîkó-eté Grácia rainha ndibé
"Estou pela metade (pex, afundado n'água)",Xe ragûé rupi aín
Salto com ela,Aropor
"Adivinha, vamos ver, aquele que bateu em ti!",Eîkuá ra'u nde ri opûaryba'e!
Indo para a borda da floresta,Ka'a-embe'ype osóbo
Para onde será que eu irei?,Mamõ serã xe sóûne?
Os franceses trouxeram pólvora em vão,Aîuruîuba mokaba ogûeru tenhẽ
Podei-a,Aî'ybab
Servi a comida dele,Asemi'u-erokûab
Eu estou adoentado,Xe mba'easyaíb
"Dormes, Guaixará?","Ereképe, Gûaîxará?"
Eu estou em guerra,Xe marãmotar
logo que vim,xe rura rupibé
Não mais amarei o diabo,N'asaûsu benhẽî xûé Anhangane
Quantas vezes o homem transgride aquele (mandamento) após atrair-se por uma mulher ou após conversar com ela enquanto não toca nela?,Mbobype abá aîpoba'e oîaby kunhã resé onhemomotar'iré koîpó i mongetá roîré sesé o byke'yma pukuî?
Eu resmungo,Xe nhe'ẽkurukuruk
Meu anzol muito ditoso há de pescar para ti,Xe pindá-porangeté t'opindaîtykyne endébo
Estando eu junto de ti,Nde pyri gûitekóbo nhẽ
"Eu sou um assassino, causa de se ter medo dos pecados","Morapitîara ixé, angaîpaba sykyîéba"
Não vieram alguns anjos do céu?,Nd'ouripe karaibebé amõ ybaka suí?
Deverias ter sabido antes o que fazias,Ereîkuá ranhẽ meémo emonã nde rekorama
Tinjo-o de vermelho (com urucu),Aîpitu-pyrang
Cavei a terra,Ayby-ybykoî
por que seria que? por que razão haveria de?,mba'e-resémo?
Caiu no chão,O'ar ybype
Como disse Pilatos aos seus aprisionadores?,Marã e'ipe Pilatos serekoaretá supé?
Ao lado uns dos outros seus cadáveres estavam ao longo do mar,O îoybyri se'õmbûera paranã ybyri i kûáî
Penteio-me,Aîeabyky
"""frio coalhado"", isto é, neve, geada",ro'ynhemoapysanga
suas túnicas ficando a rasgar,o aobusu mondoró-ndoroka
dor (em sentido genérico),mba'e rasy
"um par de pares, quatro",oîoirũîrũ
Ai! Por que bates em mim?,Akaîgûá! Marãpe xe ri erepûá?
As pedras ficaram-se quebrando ao meio,Itá oîeká-îeká o îopyterybo
mais para cá,kokoty bé
refletindo sobre suas maldades,onheangerekóbo o angaîpagûera resé
homem luxurioso,abá-poropotara
"Muito bem, então! Que venha","Aûîebeté, rõ! T'oú"
Veio novamente por tua causa,Oú ramõ nde resé
Caprichei nele,Aîmomatueté
Pecado que assassina as pessoas,Tekoangaîpaba oporapitiba'e
Pode também (a gente) tomá-lo algumas vezes em outros dias?,E'ikatu bépe amõ 'ara pupé amõme asé tara?
Eu tenho um nervo encolhido,Xe raîyîeapar
Deixa que vá,Te'inhẽ t'osó
Trabalhaste em conjunto por ocasião dos feriados?,Erepotyrõpe 'aretéreme?
"O que bebe somente o suficiente, que acontece?","Oîá nhote kagûarape, marã?"
Que nos leve para seu lugar de felicidade consigo,T'îandé rerasó o orypápe o îoesé
Aparei-o,Asembe'y-kytĩ
Tocam na cabeça da gente,Opokok asé akanga resé
"Um ou outro, somente, não faz esta aldeia pecar",Oîepé-ombé anhõ n'omoangaîpabi kó taba
ovo de arinhama,arinhama rupi'a
"Corrige-os, censura-os, para que queiram livrar-se do inferno","Enonhẽ, eîakaká, t'oîepysyrõ-motá anhanga ratá suí"
Elas estão sempre cheias,Tynysẽ memẽ
"São maus estes teus servos, não me tratam bem","I angaîpá kó nde boîá, na xe rerekó-katuî"
"Ah, muito bem, ficai tranquilos!","Erĩ, aûîé, peputu'u!"
"Ah, que mau é o pecado! Que mau que é fulano!",Tieté kó angaîpaba maniîabo mã! Tieté kó ahẽ maniîabomã!
"Pergunta tu, primeiro",Nde ranhẽ eporandub
rapazes muito fortes,kunumĩûasu-atã-atã
Minh'alma faz firme,Xe 'anga moteni
"Ao morrer eu, que tu venhas para levar-me para o alto","Xe îekyîme, t'ereîu ybaté xe rerasóbo"
"Está molestando as pessoas, ficando a confundir as aldeias",Oporomoaîu oîkóbo taba moapaîugûá-îugûabo
Fazendo-me mudar de direção por aí,Kûeîbo nhẽ xe rerobaka
"Ah, que dizes!?",Teté marã e'îabo mã!?
Estiveste no roçado para plantar roça,Ereîkó kopira resé kó tyma
"Guardai-vos de ser maus, doravante",Peteumẽ pe poxyramo angiré
Eu sou exaltado,Xe kagûaíb
"Hei de me corrigir, enfim",Anhenonhẽpe ko'yté ká
Selo-o (o cavalo),Asendamoín
"És parecido com um chamusco, ó coisa fedorenta!","-Nde rapixara pixé, mba'enem-y îu!"
este outro (e não ele),ikó-te
Ameaçaste alguém?,Ereîmomburupe amõ?
Mas que procurais nesta minha terra?,Mba'e-tepe peseká kó xe retama pupé?
"Multiplicou-nos neste mundo, primeiro",Îandé moîeapykáû ikó 'ara pupé ranhẽ
Calei a boca dele,Aîîuru-pyk
Dentro de um túmulo de pedra o puseram,Itá karamemûã pupé i nongi
como uma luz de fogo,tatá-endy îabé
Que me livre Deus das lembranças ruins,Ta xe pysyrõ Tupã ma'enduasabaíba suí
Fiquei falando em favor dele,Asepy-sepyk
Ensoberbeci-me acerca de mim mesmo,Aîerobîá xe îoesé
"Ontem, é verdade que alguns sumiram","Kûeîsé, rakó, amõ kanhemi"
"Eu sou fleumático, eu sou vagaroso",Xe mbegûé
"Ah, eu sou muito miserável após me entregar para o diabo!",Xe poreaûsubetekatu Anhanga supé xe nheme'eng'iré mã!
minha ausência,xe roŷpyre'yma
"Entrando em tua casa, visitando-te imediatamente","Nde rokype oîkébo, nde supa aûnhenhẽ"
Jejuar cada vez que a Santa Madre Igreja mandar jejuar,Santa Madre Igreja îekuaku-pûaîa îabi'õ îekuakuba
Que não tenha medo de anunciar a Jesus Cristo,T'osykyîé umẽ Îesu Cristo mombegûabo
Na cidade chamada Roma,Taba Roma 'îápe
"Visitaste o covo de alguém, arrancando seu conteúdo?",Ereîosubype abá îeke'a i poroka?
A água transformou em vinho,Y anhẽ monhangi kaûĩnamo
"Mas agora, por minha causa, dentro de uma casinha estás","A'e ko'y, xe resé, ó-mirĩ pupé ereîkó"
"Sob minhas mãos tenho os moços pecadores, os velhos crescidos","Xe pó gûyrype arekó kunumĩgûasu-angaîpaba, tunhãba'e-kakuaba"
Morrendo vós,Pemanõmo
"Aimbirê, levemos os malditos logo","Aîmbiré, îarasó muru taûîé"
Com seu próprio irmão não pode ninguém se casar,O kybyra resé nd'e'ikatuî abá omendá
Insisti,Na xe apysáî
minha herança,xe potaba
Levei as tuas coisas entre as minhas coisas,Arasó nde mba'e xe mba'e pupé
Ficaste detendo contigo alguma pessoa?,Ererokûé-rokûerype abá amõ?
Faço lisonjas ao homem,Anhemokunu'unu'uma'ub abá resé
"Urdiste mentiras contra alguém, desonrando-o?",-Eresekyîpe îuraragûaîa abá supé i motĩbyka?
"Eles, na verdade, em três pessoas se distinguem",A'e anhẽ mosapyr pessoaamo i îa'oki
Alegrando todas as velhas,Gûaîbĩ moesãîa mbá
Vai-te daqui já!,Ekûá ké suí ra'a!
Tu mesmo és a causa de teu dano,Endé aé ereîekûá
Eu sou mal-encarado,Xe resakûarasy
"Assim eu procederei, tendo saúde futuramente",Akûeîkó xe rekóû xe marane'yma rerekóbo rimba'e re'a
certo homem branco nobre,amõ karaíba mosakara
homem liberal,abá-ekoate'yme'yma
meu estrado,Xe rendaba
Bem sozinho estou,Oîepebẽngatu aîkó
"Eu não tenho prepúcio (isto é, eu sou circuncidado)",Na xe 'amopiri
"Para ele trouxeram, como oferendas, ouro, resina dura que recende (isto é, incenso) e mirra","I xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra"
"mulher normal (isto é, que nunca foi escrava)",kunhãeté
"Vou à guerra, vou como guerreiro",Asó gûarinĩramo
Sofrem a dor de não verem a Deus,Oîporará Tupã repîake'yma rasy
os reis inimigos de Deus,Tupã sumarã reîa
Aproxima-se minha ida,Okakar xe sorama
recipientes de pólvora,mokaku'i-uru
